Alignment,Organisation,Baseline_Plan,Suppliers,Interdependencies,Diversification,Flexibility,Team_Work,Score,Week,Age,Gender,Country,Department,Company_title,role,report,work_time,program_since,company_since
74,81,98,16,14,78,63,57,86,Week_2,36-45,Male,India,Sales,2,4,1,1,3,4
51,71,42,97,75,20,76,69,80,Week_2,36-45,Male,UK,Other,2,1,1,4,1,3
69,30,14,97,49,86,88,63,69,Week_2,56+,Female,India,IT,2,4,3,1,4,3
15,90,26,24,76,71,53,51,74,Week_2,19-25,Male,Sweden,Sales,2,3,2,2,1,3
94,26,85,98,77,20,15,82,74,Week_2,26-35,Female,USA,IT,4,4,3,2,4,2
69,15,26,57,63,42,90,86,79,Week_2,36-45,Female,USA,Sales,2,3,4,1,4,1
54,93,73,19,34,37,69,28,88,Week_2,26-35,Female,Sweden,Other,4,3,1,2,4,2
76,13,92,94,16,70,14,34,90,Week_2,36-45,Female,USA,Other,3,1,4,1,2,1
47,89,60,41,46,96,17,90,62,Week_2,36-45,Male,India,HR,1,4,3,2,4,3
41,87,49,17,21,99,30,11,58,Week_2,19-25,Male,UK,Marketing,1,1,1,1,1,3
94,77,41,31,34,34,72,40,92,Week_2,19-25,Male,India,HR,2,4,2,3,3,4
52,73,45,93,56,48,40,37,49,Week_2,56+,Female,USA,Other,3,2,2,4,2,2
96,81,88,76,21,47,87,61,50,Week_2,19-25,Female,USA,IT,2,4,3,2,1,1
67,98,46,87,33,36,59,32,79,Week_2,46-55,Female,UK,Sales,1,1,2,2,3,4
74,92,74,98,87,91,98,53,87,Week_3,36-45,Female,Sweden,Sales,4,4,2,3,1,2
39,33,92,39,22,29,81,96,81,Week_3,19-25,Male,India,Marketing,4,3,3,4,3,1
71,71,97,63,43,18,56,83,91,Week_3,36-45,Male,UK,HR,4,3,1,3,1,4
92,53,40,47,89,98,63,91,88,Week_3,46-55,Male,USA,Marketing,1,2,4,1,3,3
55,63,19,75,85,74,99,71,48,Week_3,36-45,Female,USA,Marketing,1,3,1,1,1,3
46,46,20,94,50,99,77,15,78,Week_3,56+,Male,USA,HR,2,4,4,1,4,1
79,35,92,15,42,68,40,12,52,Week_3,26-35,Male,UK,IT,2,2,2,3,3,3
90,43,55,54,93,88,34,12,88,Week_3,46-55,Male,Sweden,Other,4,3,2,3,2,3
72,57,37,29,29,83,98,50,54,Week_3,46-55,Male,UK,Other,2,1,4,1,1,3
94,15,15,71,41,22,76,53,68,Week_3,56+,Male,USA,Marketing,2,1,1,4,3,2
20,95,89,52,91,77,42,51,98,Week_3,26-35,Male,UK,Marketing,3,1,3,2,2,2
26,82,76,56,56,32,14,42,59,Week_3,36-45,Female,USA,Marketing,2,2,4,3,3,4
65,56,71,87,78,94,29,21,93,Week_3,19-25,Female,UK,Sales,2,4,2,3,1,2
98,91,95,21,98,87,50,83,66,Week_3,26-35,Female,India,IT,2,3,4,2,2,4
13,85,55,75,30,58,72,52,61,Week_3,56+,Female,USA,Other,1,4,2,3,3,4
52,58,32,89,75,14,91,62,92,Week_3,19-25,Male,UK,HR,4,4,3,4,3,2
16,20,41,74,77,56,84,20,91,Week_3,36-45,Female,UK,Other,1,3,2,1,4,1
81,74,81,36,84,94,23,13,49,Week_3,56+,Male,India,HR,3,2,4,1,4,2
14,40,78,48,23,17,15,53,65,Week_3,19-25,Male,India,Other,4,2,3,4,1,2
68,71,69,62,58,71,59,23,66,Week_3,26-35,Male,USA,Other,3,4,2,3,3,3
77,86,47,38,31,96,12,43,50,Week_3,19-25,Female,Sweden,IT,1,3,3,1,1,1
87,58,12,77,19,21,18,71,66,Week_3,26-35,Male,USA,Marketing,4,3,1,2,3,3
97,13,14,75,28,94,39,29,42,Week_3,19-25,Male,India,IT,1,4,2,4,2,4
64,88,61,81,25,11,78,34,90,Week_3,36-45,Female,USA,Other,1,3,3,3,2,1
25,18,31,68,91,63,10,98,57,Week_3,56+,Male,USA,Sales,1,2,3,1,3,2
31,26,89,67,82,16,53,78,43,Week_4,36-45,Male,USA,Sales,3,1,2,2,1,1
37,67,84,84,13,18,85,68,82,Week_4,26-35,Female,India,HR,1,4,1,1,2,2
50,26,64,32,12,92,96,51,52,Week_4,56+,Male,USA,Other,1,3,1,2,1,3
48,11,70,93,49,65,51,48,55,Week_4,56+,Female,UK,Other,4,4,2,4,1,2
72,14,74,76,29,97,98,95,87,Week_4,46-55,Female,USA,Other,3,2,2,1,1,1
44,43,10,97,51,85,99,22,41,Week_4,19-25,Male,USA,Marketing,1,1,2,3,2,2
69,91,85,26,83,33,43,98,64,Week_4,46-55,Female,USA,Sales,4,1,3,4,2,4
89,87,56,54,77,27,26,16,90,Week_4,19-25,Male,Sweden,Sales,3,1,1,1,3,4
51,40,10,50,11,35,70,36,44,Week_4,46-55,Male,USA,Marketing,2,4,2,2,3,3
61,87,27,96,51,93,59,81,87,Week_4,36-45,Male,Sweden,IT,1,2,1,1,3,4
13,55,34,89,97,70,55,99,46,Week_4,46-55,Male,USA,Other,1,2,1,1,4,2
64,98,86,13,32,65,46,52,96,Week_4,26-35,Male,UK,IT,1,4,4,2,3,1
83,20,13,47,36,52,41,97,50,Week_4,46-55,Male,India,IT,4,2,4,2,3,1
78,77,17,78,51,47,91,28,59,Week_4,26-35,Female,Sweden,IT,3,3,4,4,4,1
91,36,61,59,99,39,76,90,84,Week_4,36-45,Male,Sweden,Marketing,4,4,3,2,3,2
12,49,45,36,95,39,52,95,89,Week_4,26-35,Female,UK,IT,4,3,3,3,4,2
52,56,64,46,80,79,54,13,68,Week_4,26-35,Female,USA,IT,3,3,3,1,3,1
67,26,30,76,16,99,58,33,74,Week_4,46-55,Female,India,HR,4,1,1,4,1,3
82,50,71,50,86,87,28,86,61,Week_4,19-25,Male,Sweden,Other,1,2,3,1,4,1
18,87,83,77,95,92,97,77,75,Week_4,46-55,Male,UK,Sales,2,2,4,1,4,2
52,85,81,97,61,73,98,94,71,Week_4,19-25,Male,Sweden,Sales,1,4,1,3,2,2
12,69,73,26,50,48,67,14,96,Week_4,26-35,Male,UK,Sales,2,3,1,4,4,3
56,50,75,32,79,81,44,51,42,Week_4,46-55,Female,Sweden,HR,1,3,3,4,1,3
98,53,11,89,40,97,46,53,46,Week_4,56+,Female,Sweden,Other,2,4,3,1,2,1
78,21,41,46,61,35,38,13,63,Week_4,19-25,Male,Sweden,Marketing,3,4,3,4,2,1
